,0
0,90
1,79
2,75
3,52
4,35
5,12
6,5
7,99
8,94
9,66
10,50
11,26
12,10
13,7
14,61
15,98
16,97
17,96
18,95
19,93
20,92
21,91
22,89
23,88
24,87
25,86
26,85
27,84
28,83
29,82
30,81
31,80
32,78
33,77
34,76
35,73
36,72
37,71
38,70
39,69
40,68
41,67
42,65
43,64
44,63
45,62
46,60
47,59
48,57
49,56
50,55
51,54
52,53
53,51
54,49
55,48
56,46
57,45
58,44
59,43
60,42
61,41
62,40
63,39
64,38
65,37
66,36
67,34
68,33
69,32
70,31
71,30
72,29
73,28
74,27
75,25
76,24
77,23
78,22
79,21
80,20
81,19
82,18
83,17
84,16
85,15
86,14
87,13
88,11
89,9
90,8
91,6
92,4
93,3
94,2
95,1
96,0
97,58
98,74
99,47
